timestamp,symbol,side,settlement_date,fx_rate_at_trade
2026-08-05 22:18:24,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:18:24,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:18:24,RY,BUY,2026-08-06,1.400740
2026-08-05 22:18:26,KO,BUY,2026-08-06,1.400740
2026-08-05 22:18:27,KO,BUY,2026-08-06,1.400740
2026-08-05 22:18:28,RY,BUY,2026-08-06,1.400740
2026-08-05 22:18:28,CM.TO,SELL,2026-08-06,1.000000
2026-08-05 22:18:28,CM.TO,SELL,2026-08-06,1.000000
2026-08-05 22:18:28,CM.TO,SELL,2026-08-06,1.000000
2026-08-05 22:18:28,CM.TO,SELL,2026-08-06,1.000000
2026-08-05 22:21:28,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:21:28,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:21:28,RY,BUY,2026-08-06,1.400730
2026-08-05 22:21:29,KO,BUY,2026-08-06,1.400730
2026-08-05 22:21:30,KO,BUY,2026-08-06,1.400730
2026-08-05 22:21:30,RY,BUY,2026-08-06,1.400730
2026-08-05 22:21:30,CM.TO,SELL,2026-08-06,1.000000
2026-08-05 22:21:30,CM.TO,SELL,2026-08-06,1.000000
2026-08-05 22:21:30,CM.TO,SELL,2026-08-06,1.000000
2026-08-05 22:21:30,CM.TO,SELL,2026-08-06,1.000000
2026-08-05 22:25:47,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:25:47,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:25:47,RY,BUY,2026-08-06,1.400790
2026-08-05 22:25:47,KO,BUY,2026-08-06,1.400790
2026-08-05 22:25:48,KO,BUY,2026-08-06,1.400790
2026-08-05 22:25:49,RY,BUY,2026-08-06,1.400790
2026-08-05 22:25:49,CM.TO,SELL,2026-08-06,1.000000
2026-08-05 22:25:49,CM.TO,SELL,2026-08-06,1.000000
2026-08-05 22:25:49,CM.TO,SELL,2026-08-06,1.000000
2026-08-05 22:25:49,CM.TO,SELL,2026-08-06,1.000000
2026-08-05 22:48:47,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:48:47,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:48:47,RY,BUY,2026-08-06,1.400600
2026-08-05 22:48:48,KO,BUY,2026-08-06,1.400600
2026-08-05 22:48:49,KO,BUY,2026-08-06,1.400600
2026-08-05 22:48:50,RY,BUY,2026-08-06,1.400600
2026-08-05 22:48:50,CM.TO,SELL,2026-08-06,1.000000
2026-08-05 22:48:50,CM.TO,SELL,2026-08-06,1.000000
2026-08-05 22:48:50,CM.TO,SELL,2026-08-06,1.000000
2026-08-05 22:48:50,CM.TO,SELL,2026-08-06,1.000000
2026-08-05 22:50:48,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:50:48,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:50:48,RY,BUY,2026-08-06,1.400400
2026-08-05 22:50:49,KO,BUY,2026-08-06,1.400400
2026-08-05 22:50:50,KO,BUY,2026-08-06,1.400400
2026-08-05 22:50:50,RY,BUY,2026-08-06,1.400400
2026-08-05 22:50:50,CM.TO,SELL,2026-08-06,1.000000
2026-08-05 22:50:50,CM.TO,SELL,2026-08-06,1.000000
2026-08-05 22:50:50,CM.TO,SELL,2026-08-06,1.000000
2026-08-05 22:50:50,CM.TO,SELL,2026-08-06,1.000000
