timestamp,symbol,side,settlement_date,fx_rate_at_trade
2026-08-05 22:18:24,RY,BUY,2026-08-06,1.350000
2026-08-05 22:18:24,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:18:24,RY,BUY,2026-08-06,1.350000
2026-08-05 22:18:24,RY,BUY,2026-08-06,1.350000
2026-08-05 22:18:24,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:18:24,RY,BUY,2026-08-06,1.350000
2026-08-05 22:18:24,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:18:24,RY,BUY,2026-08-06,1.350000
2026-08-05 22:18:24,RY,BUY,2026-08-06,1.350000
2026-08-05 22:18:24,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:18:24,KO,BUY,2026-08-06,1.350000
2026-08-05 22:18:31,TEST,BUY,2026-08-06,1.400740
2026-08-05 22:18:31,TEST,BUY,2026-08-06,1.400740
2026-08-05 22:18:31,TEST,BUY,2026-08-06,1.400740
2026-08-05 22:18:31,TEST,BUY,2026-08-06,1.400740
2026-08-05 22:18:31,TEST,BUY,2026-08-06,1.400740
2026-08-05 22:18:31,TEST,SELL,2026-08-06,1.400740
2026-08-05 22:18:31,TEST,BUY,2026-08-06,1.400740
2026-08-05 22:18:31,TEST,BUY,2026-08-06,1.400740
2026-08-05 22:18:31,TEST,BUY,2026-08-06,1.400740
2026-08-05 22:18:31,TEST,BUY,2026-08-06,1.400740
2026-08-05 22:18:31,TEST,BUY,2026-08-06,1.400740
2026-08-05 22:18:31,TEST,BUY,2026-08-06,1.400740
2026-08-05 22:18:31,TEST,SELL,2026-08-06,1.400740
2026-08-05 22:18:31,TEST,BUY,2026-08-06,1.400740
2026-08-05 22:18:31,TEST,SELL,2026-08-06,1.400740
2026-08-05 22:18:31,TEST,BUY,2026-08-06,1.400740
2026-08-05 22:18:31,TEST,BUY,2026-08-06,1.400740
2026-08-05 22:21:28,RY,BUY,2026-08-06,1.350000
2026-08-05 22:21:28,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:21:28,RY,BUY,2026-08-06,1.350000
2026-08-05 22:21:28,RY,BUY,2026-08-06,1.350000
2026-08-05 22:21:28,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:21:28,RY,BUY,2026-08-06,1.350000
2026-08-05 22:21:28,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:21:28,RY,BUY,2026-08-06,1.350000
2026-08-05 22:21:28,RY,BUY,2026-08-06,1.350000
2026-08-05 22:21:28,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:21:28,KO,BUY,2026-08-06,1.350000
2026-08-05 22:21:33,TEST,BUY,2026-08-06,1.400730
2026-08-05 22:21:33,TEST,BUY,2026-08-06,1.400730
2026-08-05 22:21:33,TEST,BUY,2026-08-06,1.400730
2026-08-05 22:21:33,TEST,BUY,2026-08-06,1.400730
2026-08-05 22:21:33,TEST,BUY,2026-08-06,1.400730
2026-08-05 22:21:33,TEST,SELL,2026-08-06,1.400730
2026-08-05 22:21:33,TEST,BUY,2026-08-06,1.400730
2026-08-05 22:21:33,TEST,BUY,2026-08-06,1.400730
2026-08-05 22:21:33,TEST,BUY,2026-08-06,1.400730
2026-08-05 22:21:33,TEST,BUY,2026-08-06,1.400730
2026-08-05 22:21:33,TEST,BUY,2026-08-06,1.400730
2026-08-05 22:21:33,TEST,BUY,2026-08-06,1.400730
2026-08-05 22:21:33,TEST,SELL,2026-08-06,1.400730
2026-08-05 22:21:33,TEST,BUY,2026-08-06,1.400730
2026-08-05 22:21:33,TEST,SELL,2026-08-06,1.400730
2026-08-05 22:21:33,TEST,BUY,2026-08-06,1.400730
2026-08-05 22:21:33,TEST,BUY,2026-08-06,1.400730
2026-08-05 22:25:47,RY,BUY,2026-08-06,1.350000
2026-08-05 22:25:47,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:25:47,RY,BUY,2026-08-06,1.350000
2026-08-05 22:25:47,RY,BUY,2026-08-06,1.350000
2026-08-05 22:25:47,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:25:47,RY,BUY,2026-08-06,1.350000
2026-08-05 22:25:47,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:25:47,RY,BUY,2026-08-06,1.350000
2026-08-05 22:25:47,RY,BUY,2026-08-06,1.350000
2026-08-05 22:25:47,CM.TO,BUY,2026-08-06,1.000000
2026-08-05 22:25:47,KO,BUY,2026-08-06,1.350000
2026-08-05 22:25:51,TEST,BUY,2026-08-06,1.400790
2026-08-05 22:25:51,TEST,BUY,2026-08-06,1.400790
2026-08-05 22:25:51,TEST,BUY,2026-08-06,1.400790
2026-08-05 22:25:51,TEST,BUY,2026-08-06,1.400790
2026-08-05 22:25:51,TEST,BUY,2026-08-06,1.400790
2026-08-05 22:25:51,TEST,SELL,2026-08-06,1.400790
2026-08-05 22:25:51,TEST,BUY,2026-08-06,1.400790
2026-08-05 22:25:51,TEST,BUY,2026-08-06,1.400790
2026-08-05 22:25:51,TEST,BUY,2026-08-06,1.400790
2026-08-05 22:25:51,TEST,BUY,2026-08-06,1.400790
2026-08-05 22:25:51,TEST,BUY,2026-08-06,1.400790
2026-08-05 22:25:51,TEST,BUY,2026-08-06,1.400790
2026-08-05 22:25:51,TEST,SELL,2026-08-06,1.400790
2026-08-05 22:25:51,TEST,BUY,2026-08-06,1.400790
2026-08-05 22:25:51,TEST,SELL,2026-08-06,1.400790
2026-08-05 22:25:51,TEST,BUY,2026-08-06,1.400790
2026-08-05 22:25:51,TEST,BUY,2026-08-06,1.400790
